gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
HSD17B1,No,Neither,Steroid Hormone Biosynthesis,Enzyme,Cytoplasm,Converts inactive steroids to their active forms; implicated in cancer progression.
HSD17B1-AS1,No,Neither,,Long non-coding RNA,Nucleus,Possible regulatory function; needs more research for specifics.
COASY,No,Neither,Coenzyme A Metabolism,Enzyme,Mitochondria,Involved in mitochondrial metabolism and fatty acid synthesis.
MLX,No,Neither,Metabolic Processes,Transcription factor,Nucleus,Regulates metabolic genes; involvement in metabolism related to cancer.
PSMC3IP,No,Neither,Proteasome ,Protein,Cytoplasm,Involved in proteasome assembly; impacts protein degradation.
RETREG3,No,Neither,Autophagy,Protein,Cytoplasm,Implicated in the regulation of autophagy and cell survival.
TUBG1,No,Neither,Cell Cycle Regulation,Tubulin,Cytoplasm,Essential for microtubule formation and cell division.
ATP5MGP7,No,Neither,Mitochondrial Function,Protein,Mitochondria,Part of ATP synthase complex; involved in ATP production.
HMGB3P27,No,Neither,,Non-coding RNA,Nucleus,Proposed role in chromatin remodeling; precise functions need further exploration.
TUBG2,Yes,Oncogene,Cell Cycle Regulation,Tubulin,Cytoplasm,"Microtubule formation and assembly, cell division."
PLEKHH3,No,Unknown,,Protein,Cytoplasm,Involved in cytoskeletal organization and cell signaling.
CCR10,No,None,Immune Response,Chemokine receptor,Cell membrane,Mediates chemotaxis of immune cells.
CNTNAP1,No,None,Neurodevelopment,Cell adhesion molecule,Plasma membrane,Involved in neuronal cell adhesion and myelination.
EZH1,Yes,Oncogene,Epigenetic Regulation,Histone methyltransferase,Nucleus,Represses gene transcription via histone modification.
HMGN2P15,No,None,,Non-coding RNA,Nucleus,May play a role in the regulation of gene expression.
RAMP2-AS1,No,None,,Non-coding RNA,Nucleus,Potential role in regulating RAMP2 expression.
RAMP2,No,None,Hormonal Signaling,Receptor accessory protein,Plasma membrane,Modulates receptor activity for calcitonin and CGRP.
VPS25,No,None,Vesicular Trafficking,Protein,Endosome,Involved in endosomal sorting and transport.
WNK4,Yes,Oncogene,Ion Homeostasis,Protein kinase,Cytoplasm,Regulates blood pressure and sodium transport.
COA3,No,None,Mitochondrial Function,Protein,Mitochondria,Involved in mitochondrial protein import.
CNTD1,No,None,,Protein,Unknown,Potential role in cellular signaling; functions unclear.
BECN1,Yes,Tumor Suppressor,Autophagy,Protein,Cytoplasm,Essential for autophagy initiation and cellular homeostasis.
PSME3,No,None,Proteasome ,Proteasome activator,Cytoplasm,Enhances the proteasome's activity in protein degradation.
AOC2,No,None,Metabolism,FAD-dependent oxidoreductase,Cytoplasm,Catalyzes the oxidation of amines to aldehydes.
AOC3,No,None,Metabolism,FAD-dependent oxidoreductase,Cytoplasm,"Similar to AOC2, involved in amine oxidation."
AOC4P,No,None,Metabolism,Pseudogene,Unknown,Represents a non-functional version potentially related to gene regulation.
LINC00671,No,None,,Long non-coding RNA,Nucleus,May function in the regulation of gene expression as a scaffold.
RNU6-287P,No,None,Rna Processing,Non-coding RNA,Nucleus,Involved in the processing or modification of other RNA molecules.
G6PC1,Yes,Tumor Suppressor,Glucose Metabolism,Glucose-6-phosphatase,Endoplasmic Reticulum,Involved in gluconeogenesis and glycogenolysis.
AARSD1,No,Tumor Suppressor,,Enzyme,Cytoplasm,"Involved in amino acid metabolism, may play a role in immune response."
PTGES3L-AARSD1,No,Oncogene,,Proteins/Long non-coding,Cytoplasm,"Involved in prostaglandin synthesis, potentially regulating inflammation."
PTGES3L,Yes,Oncogene,Prostaglandin Signaling,Enzyme,Cytoplasm,"Catalyzes the conversion of PGH2 to PGE2, involved in inflammation and cancer progression."
RUNDC1,No,Unknown,Potential Involvement In Cancer,Unknown,Unknown,Involved in cellular processes related to Rho GTPases; its role in cancer is not fully understood.
RPL27,No,Not classified,Ribosome Biogenesis,Ribosomal protein,"Nucleus, Cytoplasm","Essential for the formation of ribosomal subunits, involved in protein synthesis."
IFI35,No,Tumor Suppressor,Immune Response Signaling,Interferon-inducible,Cytoplasm,Involved in antiviral immune responses and might impact tumorigenesis.
VAT1,No,Unknown,,Calcium-binding protein,Cytoplasm,May play a role in synaptic transmission and potential cell signaling in cancer.
RND2,No,Oncogene,Cell Cycle Regulation,GTPase,Cytoplasm,Regulates Rho signaling pathways involved in cell proliferation and differentiation.
BRCA1,Yes,Tumor Suppressor,"Dna Repair, Cell Cycle Control",Nuclear protein,Nucleus,Key role in DNA double-strand break repair; mutations linked to breast and ovarian cancer.
RPL21P4,No,Not classified,Ribosome Biogenesis,Ribosomal protein,"Nucleus, Cytoplasm",Involved in the formation of ribosomes; potential role in translation regulation.
NBR2,No,Tumor Suppressor,Dna Repair,Protein,Nucleus,May function in maintaining genomic stability; related to BRCA1 function.
BRCA1P1,No,Not classified,,Unknown,Unknown,Potentially related to BRCA1 regulation; specific functions unclear.
NBR1,No,Tumor Suppressor,Dna Repair,Protein,Nucleus,"Involved in autophagy and DNA repair processes, possibly preventing tumor development."
TMEM106A,No,Unknown,,Membrane protein,Endosomal/lysosomal location,Potential role in membrane trafficking; possible involvement in neurodegenerative diseases.
CCDC200,No,Unknown,,Protein,Unknown,Potentially involved in ciliary function; role in cancer not well characterized.
LINC00910,No,Oncogene,Non-Coding Rna Involvement,Non-coding RNA,Nucleus,Functions in gene regulation and has potential roles in cancer biology.
RNU6-1137P,No,Not classified,Rna Processing,Non-coding RNA,Nucleus,Involved in rRNA processing; potential role in regulation of gene expression.
ARL4D,No,Unknown,,GTPase,Cytoplasm,"May play a role in cytoskeletal dynamics, affecting cell motility and potentially cancer."
RNU6-470P,No,Not classified,Rna Processing,Non-coding RNA,Nucleus,Involved in rRNA processing; potential regulatory role in cellular pathways.
MIR2117HG,No,Potentially Oncogene,Microrna Processing,Non-coding RNA,Nucleus,Functionally involved in the regulation of gene expression; role in cancer requires further study.
RNU6-406P,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA processing and gene regulation
RNU6-971P,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA processing and gene regulation
DHX8,No,Neither,Rna Processing,RNA helicase,Nucleus,Plays a role in RNA unwinding and processing
ETV4,Yes,Oncogene,Cell Signaling And Development,Transcription factor,Nucleus,Involved in regulating gene expression related to growth
MEOX1,Yes,Oncogene,Development ,Transcription factor,Nucleus,Involved in embryonic development and mesoderm formation
LINC02594,No,Neither,,Non-coding RNA,Nucleus,Potential regulatory role; specific functions not well-studied
WHSC1L2P,No,Neither,,Non-coding RNA,Nucleus,Potentially involved in chromatin regulation
SOST,No,Tumor Suppressor,Bone Metabolism,Glycoprotein,Extracellular matrix,Regulates bone formation and inhibits bone resorption
DUSP3,No,Tumor Suppressor,Mapk Signaling ,Dual specificity phosphatase,Cytoplasm,"Regulates MAPK signaling, impacting cell proliferation"
CFAP97D1,No,Neither,,Protein (Function unclear),Cytoplasm,Role is unclear; further study needed
MPP3,Yes,Oncogene,Cell Signaling,PDZ domain protein,Cytoplasm,Involved in signal transduction pathways
CD300LG,No,Neither,Immune Response,Membrane protein,Membrane,Implicated in immune cell regulation and signaling
MPP2,Yes,Oncogene,Cell Signaling,PDZ domain protein,Cytoplasm,Plays a role in cell adhesion and signaling
FAM215A,No,Neither,,Protein (Function unclear),Cytoplasm,Role in biological processes not well elucidated
LINC01976,No,Neither,,Non-coding RNA,Nucleus,Potential regulatory role; specific functions not well-studied
PPY,No,Neither,Neuroendocrine Signaling,Peptide hormone,Extracellular,Involved in appetite regulation and insulin secretion
PYY,No,Neither,Neuroendocrine Signaling,Peptide hormone,Extracellular,Involved in appetite regulation and gut motility
NAGS,No,Neither,Amino Acid Metabolism,Enzyme,Mitochondria,Catalyzes the conversion of acetyl-CoA and glutamate to N-acetylglutamate
TMEM101,No,Neither,,Transmembrane protein,Membrane,Function in cellular processes not yet fully interpreted
LSM12,No,Neither,Mrna Splicing,RNA-binding protein,Nucleus,Involved in mRNA splicing and processing
G6PC3,No,Tumor Suppressor,Glycolysis,Enzyme,Cytoplasm,Involved in gluconeogenesis; helps regulate glucose levels.
HDAC5,Yes,Oncogene,Cancer Metabolism,Protein Deacetylase,Nucleus,Regulates gene expression by modifying histones; involved in cell cycle.
RNU6-131P,No,-,Non-Coding Rna,RNA,Nucleus,Plays a role in RNA splicing; part of the spliceosome.
HROB,No,-,,-,Unknown,Less characterized; may have roles in gene regulation.
ASB16,No,-,Differentiation,E3 Ubiquitin Ligase,Cytoplasm,Regulates protein turnover and cellular signaling pathways.
ASB16-AS1,No,-,Non-Coding Rna,RNA,Nucleus,Long non-coding RNA; implicated in gene regulatory networks.
TMUB2,No,-,Cell Signal Transduction,Protein,Cytoplasm/Nucleus,Involved in protein trafficking; regulates other protein functions.
ATXN7L3,No,-,,Protein,Cytoplasm,Related to polyglutamine tracts; potential roles in neurodegeneration.
ATXN7L3-AS1,No,-,Non-Coding Rna,RNA,Nucleus,Long non-coding RNA; involved in regulation of gene expression.
UBTF,Yes,Oncogene,Ribosome Biogenesis,Transcription Factor,Nucleus,Regulates ribosomal RNA transcription; implicated in cell growth.
SHC1P2,No,-,,RNA,Nucleus,Less characterized; potential roles in cell signaling.
SLC4A1,No,-,Ion Transport,Transporter,Plasma Membrane,Facilitates bicarbonate ion transport; important in pH regulation.
RN7SL507P,No,-,Non-Coding Rna,RNA,Nucleus,Part of the spliceosome; involved in RNA processing.
RUNDC3A-AS1,No,-,Non-Coding Rna,RNA,Nucleus,Long non-coding RNA; may play roles in transcriptional regulation.
RNU6-453P,No,-,Non-Coding Rna,RNA,Nucleus,Plays a role in RNA splicing; part of the spliceosome.
RUNDC3A,No,-,Cell Signaling,Protein,Cytoplasm,Involved in stress response and cellular processes.
SLC25A39,No,-,Mitochondrial ,Transporter,Mitochondria,Involved in mitochondrial transport processes.
GRN,Yes,Tumor Suppressor,Neurodegeneration,Protein,Secreted,Involved in inflammatory response; potential suppressor role in cancer.
FAM171A2,No,-,,Protein,Cytoplasm,Less characterized; potential roles in immune response.
RPL7L1P5,No,-,Ribosome Biogenesis,Ribosomal Protein,Cytoplasm,Component of ribosomes; plays a key role in protein synthesis.
ITGA2B,Yes,Oncogene,"Platelet Activation, Hemostasis",Glycoprotein,Membrane,Mediates cell adhesion and signaling in platelets
GPATCH8,No,N/A,,RNA-binding protein,Nucleus,Involved in RNA processing and splicing
RN7SL258P,No,N/A,,Non-coding RNA,Nucleus,May play a role in gene regulation
FZD2,Yes,Oncogene,Wnt Signaling,Membrane receptor,Membrane,"Activates Wnt signaling, important in cell growth"
SMCO4P1,No,N/A,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
LINC01180,No,N/A,,Non-coding RNA,Nucleus,Involved in gene regulation
MEIOC,No,N/A,,Protein,Unknown,Possible role in meiosis or cell division
CCDC43,No,N/A,,Coiled-coil protein,Cytoplasm,Structural role in cilia or centrosomes
DBF4B,Yes,Oncogene,Cell Cycle Regulation,Regulatory protein,Nucleus,Activates cyclin-dependent kinases
RN7SL819P,No,N/A,,Non-coding RNA,Nucleus,Possible regulatory role in gene expression
ADAM11,Yes,Oncogene,"Cell Adhesion, Signal Transduction",Metalloprotease,Membrane,Involved in cell-cell and cell-matrix interactions
GJC1,Yes,Tumor Suppressor,Gap Junction Communication,Connexin protein,Membrane,Forms gap junctions for intercellular communication
HIGD1B,No,N/A,"Hypoxia Response, Metabolism",Protein,Mitochondria,Potential role in hypoxia-mediated pathways
EFTUD2,Yes,Tumor Suppressor,Rna Processing,RNA polymerase complex,Nucleus,Involved in splicing of pre-mRNA
RN7SL405P,No,N/A,,Non-coding RNA,Nucleus,Potential regulatory role in gene expression
CCDC103,No,N/A,,Coiled-coil protein,Cilia,Possible structural role in cilia
FAM187A,No,N/A,,Protein,Unknown,Possible involvement in cellular processes
GFAP,No,N/A,Astrocyte Function,Intermediate filament,Cytoplasm (astrocytes),"Structural protein in astrocytes, involved in response to injury"
KIF18B,No,N/A,"Cell Division, Mitosis",Motor protein,Cytoplasm,Involved in chromosome alignment during mitosis
KIF18B-DT,No,N/A,,Long non-coding RNA,Nucleus,Potential regulatory role in KIF18B expression
C1QL1,No,Unknown,,Secreted Protein,Extracellular matrix,Involved in synapse formation and neuronal function
DCAKD,No,Unknown,,Enzyme,Cytoplasm,DCAKD's role is not well-defined; may be involved in metabolism
NMT1,No,Oncogene,Cellular Stress Response,Enzyme,Cytoplasm,Involved in N-myristoylation of various proteins.
PLCD3,Yes,Oncogene,Phosphoinositide Signaling,Phospholipase,Cytoplasm/Cell Membrane,"Hydrolyzes phosphatidylinositol-4,5-bisphosphate."
ACBD4,No,Unknown,Lipid Metabolism,Adaptor Protein,Cytoplasm,Involved in lipid droplet biogenesis.
HEXIM1,Yes,Tumor Suppressor,Gene Expression Regulation,Regulator,Nucleus,"Modulates transcriptional regulation, associated with cancer."
HEXIM2,No,Tumor Suppressor,Gene Expression Regulation,Regulator,Nucleus,"Similar role to HEXIM1, involved in transcriptional repression."
FMNL1-DT,No,Unknown,,Non-coding RNA,N/A,Likely involved in gene regulation via antisense.
FMNL1,No,Oncogene,Cytoskeletal Dynamics,Actin-Binding Protein,Cytoplasm,Involved in actin cytoskeleton remodeling and cell shape.
EFCAB15P,No,Unknown,,Unknown,Unknown,Information largely unknown; potential regulatory role.
MAP3K14-AS1,No,Unknown,,Long Non-coding RNA,N/A,May have a regulatory role in MAP3K14 expression
SPATA32,No,Unknown,,Unknown,Testis,"Potential role in male fertility, exact function unclear."
MAP3K14,Yes,Oncogene,Nf-Κb Signaling ,Kinase,Cytoplasm/Nucleus,Activates MAPK pathways; involved in stress responses.
RNA5SP443,No,Unknown,,Non-coding RNA,N/A,"Function mainly unknown, possible regulatory role."
ARHGAP27,No,Tumor Suppressor,Rho Gtpase Signaling,GTPase Activator,Cytoplasm,Regulates actin cytoskeleton dynamics via Rho GTPases.
PLEKHM1,No,Unknown,Endosomal Trafficking,Adaptor Protein,Cytoplasm,Involved in lysosome-autophagy pathways.
LRRC37A4P,No,Unknown,,Long Non-coding RNA,N/A,Predicted to be involved in gene regulation.
RDM1P1,No,Unknown,,Long Non-coding RNA,N/A,"Function largely unknown, potential role in regulation."
DND1P1,No,Unknown,,Long Non-coding RNA,N/A,Potential regulatory roles in gene expression.
MAPK8IP1P2,No,Unknown,Mapk Signaling ,Long Non-coding RNA,N/A,Implicated in regulation of MAPK signaling pathways.
RPS26P8,No,No,,Non-coding RNA,Nucleus,"Role in ribosome assembly, potential regulation of translation"
LINC02210,No,No,,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression and chromatin remodeling
CRHR1,Yes,No,Stress Response,GPCR (Receptor),Membrane,"Mediates the effects of corticotropin-releasing hormone, involved in stress response"
LINC02210-CRHR1,No,No,,Long non-coding RNA,Nucleus,Potential regulatory role; fusion-derived non-coding RNA
MAPT-AS1,No,No,Tauopathies,Long non-coding RNA,Nucleus,"Involved in the regulation of MAPT gene, implicated in neurodegenerative conditions"
SPPL2C,Yes,No,"Apoptosis, Inflammation",Protease,Membrane,"Involved in the processing of membrane proteins, potential role in immune response"
MAPT,Yes,Yes,Alzheimer's Disease,Microtubule-associated,Cytoplasm,Regulates microtubule stability; mutations linked to tauopathies
STH,No,No,,Enzyme,Mitochondria,"Involved in metabolic processes, specific role in electron transport"
KANSL1,Yes,No,Cell Cycle Regulation,Protein,Cytoplasm,"Associated with chromatin remodeling, implicated in developmental disorders"
KANSL1-AS1,No,No,,Long non-coding RNA,Nucleus,Regulatory role in gene expression and chromatin dynamics
MAPK8IP1P1,No,No,Mapk Signaling ,Non-coding RNA,Nucleus,"Potential regulatory role in the MAPK signaling cascade, particularly in central nervous system"
ARL17B,No,No,,Small GTPase,Cytoplasm,Involved in protein localization and transport processes
LRRC37A,No,No,,Protein,Membrane,Potential role in cell adhesion and signaling
RN7SL656P,No,No,,Non-coding RNA,Nucleus,Involved in RNA processing and regulation
NSFP1,No,No,,Protein,Cytoplasm,Involved in protein synthesis and folding
RDM1P2,No,No,,Long non-coding RNA,Nucleus,Potential role in RNA transcription regulation
LRRC37A2,No,No,,Protein,Membrane,"Similar functions to LRRC37A, involved in cytoskeletal integrity"
ARL17A,No,No,,Small GTPase,Cytoplasm,Involved in intracellular transport and signaling
RN7SL199P,No,No,,Non-coding RNA,Nucleus,Implicated in rRNA processing and ribosome biogenesis
FAM215B,No,No,,Protein,Cytoplasm,Potentially involved in cellular signaling and interaction
NSF,Yes,No,Various Cell Signaling,ATPase,Cytoplasm/Cell membrane,Involved in vesicle trafficking and exocytosis.
RPS7P11,No,No,,Non-coding RNA (Pseudogene),N/A,"Potential regulatory role, not established in cancer."
WNT3,Yes,Yes,Wnt Signaling,Secreted protein,Extracellular,"Important in cell signaling, development, and cancer."
WNT9B,Yes,Yes,Wnt Signaling,Secreted protein,Extracellular,Plays a role in cell proliferation and differentiation.
LINC01974,No,No,,Long non-coding RNA,Nucleus,Potential regulatory role and association with cancer.
GOSR2-DT,No,No,,Non-coding RNA (Pseudogene),N/A,"Potential regulatory role, not established in cancer."
RNU6ATAC3P,No,No,,Non-coding RNA,Nucleus,"Involved in RNA processing, potential role in gene regulation"
GOSR2,No,No,,Protein,Membrane,"Involved in vesicle transport, implicated in tumor biology."
MIR5089,No,No,,MicroRNA,Nucleus,"Potential role in gene regulation, not well established."
RPRML,Yes,No,Various,Protein,Cytoplasm,Involved in RNA regulation and may play a role in cancer.
LRRC37A17P,No,No,,Long non-coding RNA,N/A,"Potential regulatory role, not established in cancer."
RN7SL270P,No,No,,Non-coding RNA,N/A,"Potentially involved in RNA regulation, role in cancer unclear"
CDC27,Yes,No,Cell Cycle Regulation,Protein,Cytoplasm,Involved in cell cycle control and may promote cancer.
MYL4,No,No,Cardiac Development,Protein (myosin),Cytoplasm,"Plays a role in muscle contraction, not directly linked to cancer"
ITGB3,Yes,Yes,Integrin Signaling,Protein,Membrane,Important in cell adhesion and migration; implicated in cancer metastasis.
RNU7-186P,No,No,,Non-coding RNA,Nucleus,"Potential role in RNA processing, not established in cancer."
EFCAB13-DT,No,No,,Non-coding RNA,N/A,"Potential regulatory role, not established in cancer."
EFCAB13,No,No,,Protein,Cytoplasm,"Involved in calcium signaling, unclear role in cancer."
MRPL45P2,No,No,,Non-coding RNA (Pseudogene),N/A,Role in cancer not well established.
NPEPPS,No,No,,Protein,Cytoplasm,May play a role in neuropeptide processing; role in cancer unclear.
KPNB1-DT,No,Oncogene,,lncRNA,Nucleus,Implicated in nuclear transport regulation.
KPNB1,Yes,Oncogene,Cell Cycle Regulation,Karyopherin,Nucleus,Involved in nuclear import of proteins.
TBKBP1,Yes,Oncogene,Nf-Kb Signaling,Protein,Cytoplasm,Plays a role in immune response and autophagy.
TBX21,Yes,Oncogene,Immune Response,Transcription factor,Nucleus,Regulates T cell differentiation.
OSBPL7,No,Tumor suppressor,Lipid Metabolism,Protein,Cytoplasm,Involved in lipid transport and metabolism.
MRPL10,No,N/A,Mitochondrial Function,Mitochondrial protein,Mitochondria,Role in mitochondrial ribosome assembly.
LRRC46,No,N/A,Immune Signaling,Protein,Cytoplasm,Involved in modulating immune responses.
SCRN2,No,N/A,,Protein,Cytoplasm,Function in cellular trafficking and endocytosis.
SP6,No,N/A,Developmental ,Transcription factor,Nucleus,Regulates gene expression during development.
SP2-DT,No,N/A,,lncRNA,Nucleus,Regulatory role in gene expression.
SP2,Yes,Oncogene,Development ,Transcription factor,Nucleus,Regulates various genes involved in development.
SP2-AS1,No,N/A,,lncRNA,Nucleus,Potential regulatory role in gene expression.
PNPO,No,N/A,Metabolism,Enzyme,Mitochondria,Involved in vitamin B6 metabolism.
PRR15L,No,N/A,Cell Cycle Regulation,Protein,Cytoplasm,Role in mRNA regulation and degradation.
CDK5RAP3,Yes,Tumor suppressor,Cell Cycle Regulation,Protein,Cytoplasm,Inhibitor of cyclin-dependent kinase 5 (CDK5)
COPZ2,No,N/A,Vesicular Transport,Protein,Cytoplasm,Involved in vesicle formation and transport.
MIR152,No,Tumor suppressor,Mirna Regulatory Network,miRNA,Cytoplasm,Modulates gene expression through RNA interference.
NFE2L1-DT,No,N/A,Antioxidant Response,lncRNA,Nucleus,Role in regulating oxidative stress response.
NFE2L1,Yes,Oncogene,Antioxidant Response,Transcription factor,Nucleus,Regulates genes involved in the antioxidant response.
CBX1,No,N/A,Chromatin Remodeling,Protein,Nucleus,Involved in transcriptional regulation through chromatin modification.
RNU6-1201P,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA splicing; small nuclear RNA
SNX11,No,Oncogene,Endocytosis,Protein,Cytoplasm,Involved in sorting of proteins and lipids
SKAP1,Yes,Oncogene,T-Cell Signaling,Protein,Cytoplasm,Involved in T-cell receptor signaling
MIR1203,No,Neither,,MicroRNA,Cytoplasm,Regulatory role in gene expression
SKAP1-AS1,No,Neither,,Long non-coding RNA,Cytoplasm,Potentially involved in regulating SKAP1
RNU6-1152P,No,Neither,,Non-coding RNA,Nucleus,Involved in RNA splicing; small nuclear RNA
HOXB1,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Regulates gene expression in development
HOXB2,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Regulates embryonic development
HOXB-AS1,No,Neither,,Long non-coding RNA,Cytoplasm,Potential regulatory function in HOXB genes
HOXB3,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Involved in limb and organ development
HOXB-AS3,No,Neither,,Long non-coding RNA,Cytoplasm,Potential regulatory function in HOXB genes
HOXB-AS2,No,Neither,,Long non-coding RNA,Cytoplasm,Potential regulatory function in HOXB genes
HOXB4,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Plays a role in hematopoiesis
MIR10A,No,Neither,,MicroRNA,Cytoplasm,Regulates gene expression and cell differentiation
HOXB5,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Involved in limb and organ development
HOXB6,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Regulates various developmental processes
HOXB7,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Involved in cell differentiation and growth
HOXB8,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Involved in limb and organ development
HOXB9,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Plays a role in regulating patterned growth
HOXB-AS4,No,Neither,,Long non-coding RNA,Cytoplasm,Potential regulatory function in HOXB genes
MIR196A1,No,Oncogene,,miRNA,Cytoplasm,Regulates gene expression by targeting mRNAs.
RPL9P28,No,Not Applicable,,Pseudogene,N/A,May be involved in ribosome biogenesis.
LINC02086,No,Not Applicable,,Long non-coding RNA,Nucleus,Regulatory functions; involved in chromatin remodeling.
COX6B1P2,No,Not Applicable,,Pseudogene,N/A,Likely related to mitochondrial functions.
PRAC1,No,Not Applicable,,Protein,Cytoplasm,Function currently not well-defined.
PRAC2,No,Not Applicable,,Protein,Cytoplasm,Function currently not well-defined.
MIR3185,No,Oncogene,,miRNA,Cytoplasm,Regulates gene expression; potential role in cancer.
HOXB13,Yes,Oncogene,Developmental ,Transcription factor,Nucleus,Regulates developmental genes; associated with prostate cancer.
TTLL6,No,Not Applicable,,Protein,Cytoplasm,May be involved in post-translational modifications.
RN7SL125P,No,Not Applicable,,Pseudogene,N/A,Potential involvement in RNA processing.
CALCOCO2,No,Tumor Suppressor,Cellular Stress Response,Protein,Cytoplasm,Plays a role in cellular stress response and autophagy.
SUMO2P17,No,Not Applicable,,Pseudogene,N/A,Potential involvement in SUMOylation processes.
ATP5MC1,No,Not Applicable,Mitochondrial Function,Protein,Mitochondria,Involved in ATP synthesis in mitochondria.
UBE2Z,Yes,Oncogene,Ubiquitin-Proteasome ,Enzyme,Cytoplasm/Nucleus,Involved in ubiquitination; affects protein degradation.
SNF8,Yes,Oncogene,Autophagy,Protein,Cytoplasm,Regulates protein trafficking and autophagy.
RNU1-42P,No,Not Applicable,,Pseudogene,N/A,Potential regulatory role in RNA processes.
GIP,No,Not Applicable,Insulin Signaling,Hormone,Secreted,Involved in glucose metabolism and insulin release.
IGF2BP1,Yes,Oncogene,Igf Signaling,RNA binding protein,Cytoplasm,Stabilizes mRNA and promotes translation; involved in growth signaling.
RNU6-826P,No,Not Applicable,,Pseudogene,N/A,Potential involvement in RNA processing.
B4GALNT2P1,No,Not Applicable,,Pseudogene,N/A,Limited functional characterization.
B4GALNT2,Yes,Oncogene,"Glycosylation, Cell Adhesion",Enzyme (glycosyltransferase),Golgi Apparatus,"Involved in glycosylation processes, impacting cell adhesion and migration."
GNGT2,Yes,Oncogene,Signal Transduction,G-protein coupled,Cytoplasm,Regulates signal transduction pathways via G-proteins.
ABI3,No,Tumor Suppressor,Cell Signaling,Adaptor protein,Cytoplasm,Implicated in actin cytoskeletal organization and cell signaling.
PHOSPHO1,Yes,Oncogene,Bone Development,Phosphatase,"Cytoplasm, Mitochondria",Plays a role in bone mineralization and lipid metabolism.
ZNF652,No,Tumor Suppressor,Cell Cycle Regulation,Zinc Finger Protein,Nucleus,Regulates gene expression related to cell cycle and differentiation.
PHB,Yes,Oncogene,Mitochondrial Function,Chaperone,"Mitochondria, Nucleus",Involved in mitochondrial integrity and cellular stress responses.
EIF4EP2,Yes,Oncogene,Protein Synthesis,Eukaryotic Translation Initiation Factor,Cytoplasm,Plays a role in translation initiation; involved in cancer-related hyper-protein synthesis.
LINC02075,No,Unknown,,Long non-coding RNA,N/A,Potential regulatory role in gene expression; specific functions in cancer need more research.
NGFR,Yes,Oncogene,Neurotrophic Signaling,Receptor,Plasma Membrane,Regulates neuronal survival and may contribute to tumor growth in certain cancers.
NXPH3,No,Unknown,Neurotransmitter Release,Neurexin-like Protein,Plasma Membrane,Involved in synaptic function; role in cancer is still under investigation.
SPOP,Yes,Tumor Suppressor,Ubiquitin-Mediated Degradation,E3 Ubiquitin Ligase,Nucleus,Participates in protein degradation and may regulate oncogenic proteins.
SLC35B1,No,Unknown,Nucleotide Sugar Transport,Transporter,Endoplasmic Reticulum,Involved in nucleotide sugar transport; implications in glycosylation in cancer.
FAM117A,No,Unknown,,Unknown,Unknown,Function not well characterized; potential roles in cellular processes require further study.
KAT7,Yes,Oncogene,Chromatin Remodeling,Histone Acetyltransferase,Nucleus,"Influences gene expression and chromatin structure, potentially promoting tumorigenesis."
SRP14P3,No,Unknown,,RNA-binding Protein,Cytoplasm,Potential role in RNA transport and processing; cancer relevance unclear.
TAC4,Yes,Oncogene,Neuroendocrine Signaling,Neuropeptide,Cytoplasm,Associated with cell signaling in tumor growth and metastasis.
RNU6-1313P,No,Unknown,,Small RNA,Nucleus,Regulated in cellular processes; specific cancer roles require clarification.
DLX4,Yes,Oncogene,"Development, Cell Differentiation",Transcription Factor,Nucleus,Involved in neuronal development; potential contributions to malignancy are noted.
DLX3,Yes,Oncogene,"Development, Cell Differentiation",Transcription Factor,Nucleus,Regulates gene expression during development; implicated in oncogenesis in certain tissues.
PICART1,No,Unknown,,Unknown,Unknown,Potentially associated with cell signaling; specific cancer implications require further research.
ITGA3,Yes,Oncogene,Cell Adhesion And Ecm Remodeling,Integrin,Membrane,Mediates cell-matrix adhesion and signaling.
PDK2,No,Oncogene,Metabolic Signaling,Kinase,Cytoplasm,Regulates pyruvate metabolism by activating PDH.
SAMD14,No,Unknown,,Protein,Nucleus,Potential role in stress response and gene regulation.
PPP1R9B,No,Tumor Suppressor,Signal Transduction,Regulatory protein,Cytoplasm,Involved in modulation of protein phosphatase 1 activity.
SGCA,Yes,Tumor Suppressor,Muscle Function,Structural protein,Plasma membrane,Associated with muscular dystrophy (alpha-sarcoglycan).
H1-9P,No,Unknown,,Histone,Nucleus,Potential regulatory role in chromatin structure.
COL1A1,No,Oncogene,Ecm ,Collagen,Extracellular matrix,"Major component of the extracellular matrix, important for tissue structure."
SUMO2P7,No,Unknown,,SUMO protein,Unknown,"Involved in SUMOylation, a process that regulates protein function."
